=== 2->3 (rear leg): reached=True total_finetune_steps=4915200 ===
 wp  alpha  growth  viable?  ft_steps  cumulative  mass   surv  speed   duty                    phases                 f     H
  0  0.000  0.000   True          0           0  11.01  1.00  0.472  [0.56, 0.58, 0.0, 0.0]  [0.0, 0.5, 0.0, 0.0]  1.62  1.43
  1  0.125  0.125   True          0           0  11.20  1.00  0.451  [0.56, 0.58, 0.0, 0.0]  [0.0, 0.5, 0.0, 0.0]  1.62  1.43
  2  0.275  0.275   True          0           0  11.42  1.00  0.395  [0.56, 0.6, 0.0, 0.0]  [0.0, 0.49, 0.0, 0.0]  1.62  1.47
  3  0.425  0.425   True          0           0  11.65  0.91  0.397  [0.62, 0.59, 0.0, 0.0]  [0.0, 0.49, 0.0, 0.0]  1.62  1.53
  4  0.575  0.575   True    4915200     4915200  11.87  1.00  0.462  [0.55, 0.58, 0.0, 0.0]  [0.0, 0.5, 0.0, 0.0]  1.50  1.42
  5  0.725  0.725   True          0     4915200  12.10  1.00  0.472  [0.55, 0.58, 0.0, 0.0]  [0.0, 0.5, 0.0, 0.0]  1.62  1.43
  6  0.875  0.875   True          0     4915200  12.32  1.00  0.478  [0.56, 0.59, 0.0, 0.0]  [0.0, 0.49, 0.0, 0.0]  1.62  1.46
  7  1.000  1.000   True          0     4915200  12.51  0.95  0.515  [0.52, 0.64, 0.46, 0.0]  [0.0, 0.5, 0.29, 0.0]  1.75  2.43

=== 3->4 (front leg): reached=True total_finetune_steps=9830400 ===
 wp  alpha  growth  viable?  ft_steps  cumulative  mass   surv  speed   duty                    phases                 f     H
  0  0.000  0.000   True          0           0  12.51  0.88  0.517  [0.5, 0.66, 0.49, 0.0]  [0.0, 0.5, 0.29, 0.0]  1.75  2.43
  1  0.125  0.125   True    4915200     4915200  12.69  1.00  0.463  [0.56, 0.59, 0.16, 0.0]  [0.0, 0.5, 0.3, 0.0]  1.75  1.94
  2  0.250  0.250   True          0     4915200  12.88  1.00  0.480  [0.59, 0.59, 0.16, 0.0]  [0.0, 0.51, 0.3, 0.0]  1.88  1.96
  3  0.400  0.400   True          0     4915200  13.10  1.00  0.492  [0.6, 0.57, 0.19, 0.0]  [0.0, 0.51, 0.32, 0.0]  2.00  2.01
  4  0.550  0.550   True    4915200     9830400  13.33  1.00  0.481  [0.62, 0.55, 0.16, 0.0]  [0.0, 0.52, 0.32, 0.0]  1.88  1.99
  5  0.700  0.700   True          0     9830400  13.55  1.00  0.500  [0.58, 0.57, 0.18, 0.0]  [0.0, 0.51, 0.31, 0.0]  1.88  1.98
  6  0.850  0.850   True          0     9830400  13.78  1.00  0.524  [0.59, 0.54, 0.16, 0.0]  [0.0, 0.51, 0.31, 0.0]  1.88  1.93
  7  1.000  1.000   True          0     9830400  14.00  1.00  0.443  [0.65, 0.57, 0.16, 0.76]  [0.0, 0.52, 0.33, 0.07]  1.88  2.28

